# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
 30   3   0.03872316
 30  23  -0.02532852
 31   1  -0.00768778
 31   4  -0.01266099
 31   7  -0.00873989
 31  22   0.02977508
 31  24  -0.01043938
 32   5  -0.04885778
 32   8   0.00456625
 33   3   0.02907897
 33  23  -0.13172680
 34   1  -0.02052240
 34   4  -0.04329331
 34   7  -0.04031652
 34  22   0.04330409
 34  24  -0.16902430
 36   1   0.00846516
 36   4   0.01476126
 36   7  -0.03694766
 36  22  -0.04184242
 36  24  -0.04425606
 37   5   0.01115790
 37   8   0.06535126
 38   3   0.00090113
 38  23   0.23440441
 39   1   0.00213413
 39   4   0.02956159
 39   7  -0.00945299
 39  22   0.01171381
 39  24  -0.26032913
 40   0  -0.00085716
 40  21  -0.03160976
 40  35  -0.18247430
 41   3   0.04342215
 41  23   0.00328525
 42   9   0.02387907
 42  29  -0.02117916
 42  40   0.19262450
 43  11  -0.07809068
 43  16  -0.00305942
 43  19   0.00468529
 43  26  -0.00419421
 43  31   0.00075766
 43  34   0.00825993
 43  36  -0.00065317
 43  39   0.01812316
 44  13  -0.10838356
 44  18   0.01072430
 44  28   0.00711165
 45  10  -0.01069711
 45  15  -0.02007066
 45  25   0.16921265
 45  30  -0.03215092
 45  33   0.00613023
 45  38   0.01365361
 45  41  -0.04438223
 46  11   0.00114644
 46  16  -0.04207034
 46  19   0.01685494
 46  26  -0.18661058
 46  31   0.02518991
 46  34   0.01325693
 46  36  -0.02504392
 46  39   0.01827981
 47  12  -0.01281516
 47  17  -0.04654201
 47  20  -0.01373016
 47  27   0.22139536
 47  32   0.03783972
 47  37  -0.04323152
 48  13   0.00124950
 48  18  -0.03309829
 48  28  -0.29238254
 49  11   0.00494704
 49  16  -0.00565848
 49  19  -0.03843784
 49  26   0.01708947
 49  31   0.00565475
 49  34   0.05372432
 49  36  -0.27084321
 49  39   0.00359867
 50  12  -0.00345621
 50  17   0.00408584
 50  20  -0.06519580
 50  27  -0.00080915
 50  32  -0.00499645
 50  37   0.32394638
 51   9   0.13563444
 51  29   0.14517259
 51  40   0.42585339
 52  11  -0.05227037
 52  16  -0.00986430
 52  19  -0.07506983
 52  26  -0.04325967
 52  31  -0.07548775
 52  34  -0.03506048
 52  36  -0.10355351
 52  39   0.00868048
 53  10   0.01074007
 53  15  -0.00165402
 53  25   0.02901006
 53  30   0.06125269
 53  33   0.21796660
 53  38  -0.13782466
 53  41   0.00309555
 54  11  -0.00770697
 54  16  -0.01465529
 54  19   0.00030252
 54  26   0.05095335
 54  31  -0.00534170
 54  34   0.27895322
 54  36   0.03781294
 54  39   0.17019079
 55   9   0.03696103
 55  29  -0.08282879
 55  40  -0.01248002

Jf nJf  Ji nJi  Lambda =   0 1      0 2      0
-------------- OBTD ---------------------
  3   0  -0.06534638
  4   1   0.22941771
  5   2  -0.18857728

-------------- TBTD ---------------------
  9   0  -0.02009244
  9  21   0.02897755
  9  35  -0.00211462
 10   3   0.00999066
 10  23  -0.01148854
 11   1  -0.08057681
 11   4   0.00512058
 11   7   0.00621429
 11  22  -0.00808109
 11  24  -0.01483641
 12   5   0.01272123
 12   8   0.00323122
 13   2  -0.10991244
 13   6   0.00174472
 15   3   0.19581893
 15  23   0.02911890
 16   1   0.00482515
 16   4   0.23130140
 16   7  -0.00796954
 16  22   0.01885972
 16  24  -0.05050109
 17   5   0.25518745
 17   8  -0.00077259
 18   2  -0.00873139
 18   6   0.32119681
 19   1   0.00267714
 19   4  -0.02257604
 19   7  -0.27913788
 19  22  -0.01651788
 19  24   0.00344329
 20   5   0.03434600
 20   8  -0.33495911
 25   3  -0.02378169
 25  23   0.00164984
 26   1  -0.00019531
 26   4   0.03416244
 26   7  -0.00334484
 26  22   0.03825863
 26  24   0.02161152
 27   5  -0.05465849
 27   8   0.00361750
 28   2  -0.00751328
 28   6   0.05164916
 29   0   0.02874635
 29  21   0.24023499
 29  35  -0.03901841
 30   3   0.03191944
 30  23  -0.06154912
 31   1  -0.04140405
 31   4  -0.00332695
 31   7  -0.05785351
 31  22   0.06623892
 31  24   0.02156168
 32   5  -0.03806323
 32   8   0.00468518
 33   3   0.00466707
 33  23  -0.12918367
 34   1  -0.02511810
 34   4  -0.04626132
 34   7  -0.04065260
 34  22   0.00675089
 34  24  -0.18307013
 36   1   0.00792832
 36   4   0.01433638
 36   7  -0.04135639
 36  22   0.00422855
 36  24  -0.03283522
 37   5   0.01976426
 37   8   0.06857441
 38   3   0.00181599
 38  23   0.24705432
 39   1  -0.00159759
 39   4   0.01661096
 39   7  -0.01726307
 39  22   0.02405889
 39  24  -0.29394083
 40   0  -0.01728489
 40  21  -0.06471959
 40  35  -0.18151237
 41   3   0.03869417
 41  23  -0.00395026
 42   9   0.02538108
 42  29   0.14513781
 42  40   0.03988111
 43  11  -0.07845527
 43  16   0.00753411
 43  19   0.00709111
 43  26   0.00521693
 43  31  -0.05563383
 43  34   0.00604034
 43  36  -0.00088841
 43  39   0.01669054
 44  13  -0.10828326
 44  18   0.00559514
 44  28   0.00386319
 45  10  -0.01550030
 45  15  -0.00041913
 45  25   0.17506390
 45  30  -0.04004632
 45  33   0.00119412
 45  38   0.02713616
 45  41  -0.04654571
 46  11   0.00050640
 46  16  -0.04283921
 46  19   0.00526497
 46  26  -0.22057361
 46  31   0.02484007
 46  34  -0.02827444
 46  36  -0.02919101
 46  39   0.04007950
 47  12  -0.00807699
 47  17  -0.05821066
 47  20  -0.01132200
 47  27   0.27606594
 47  32   0.05147877
 47  37  -0.01500007
 48  13   0.00198121
 48  18  -0.03649203
 48  28  -0.34204345
 49  11   0.00245877
 49  16   0.01555548
 49  19  -0.03649969
 49  26   0.02417942
 49  31  -0.13516686
 49  34   0.04080236
 49  36  -0.27922698
 49  39   0.00862630
 50  12  -0.00339063
 50  17   0.00717852
 50  20  -0.06323047
 50  27   0.02113499
 50  32  -0.00145292
 50  37   0.33237465
 51   9  -0.02498481
 51  29   0.14965247
 51  40  -0.08202937
 52  11  -0.00083892
 52  16  -0.01472279
 52  19   0.00191122
 52  26  -0.05071498
 52  31  -0.05342835
 52  34  -0.03017900
 52  36   0.00227698
 52  39  -0.02382034
 53  10  -0.00526556
 53  15   0.02552444
 53  25  -0.00938214
 53  30   0.02465095
 53  33   0.24264477
 53  38  -0.14322989
 53  41  -0.00421504
 54  11  -0.00466664
 54  16  -0.02966789
 54  19  -0.00706338
 54  26  -0.02516091
 54  31  -0.03341750
 54  34   0.29281563
 54  36   0.05836722
 54  39   0.16084401
 55   9   0.18793083
 55  29   0.44199781
 55  40  -0.01556882

Jf nJf  Ji nJi  Lambda =   0 2      0 2      0
-------------- OBTD ---------------------
  3   0   0.04356079
  4   1   0.38007936
  5   2   0.38505455

-------------- TBTD ---------------------
  9   0   0.05850899
  9  21   0.06014056
  9  35   0.04591079
 10   3  -0.01305058
 10  23   0.00823303
 11   1   0.05101105
 11   4  -0.00927533
 11   7  -0.00963525
 11  22  -0.00383549
 11  24   0.02658455
 12   5  -0.00239057
 12   8  -0.00779870
 13   2   0.07266136
 13   6  -0.00235980
 15   3   0.30590551
 15  23  -0.03153641
 16   1  -0.00311489
 16   4   0.37198313
 16   7   0.02143083
 16  22  -0.01388484
 16  24   0.07190680
 17   5   0.46927432
 17   8  -0.00026166
 18   2  -0.00026547
 18   6   0.53604896
 19   1  -0.00270703
 19   4   0.02655485
 19   7   0.56913094
 19  22   0.04109369
 19  24  -0.03382424
 20   5  -0.01522952
 20   8   0.68339556
 25   3  -0.01479802
 25  23  -0.01021466
 26   1   0.00972118
 26   4  -0.01111563
 26   7   0.01265773
 26  22   0.02948210
 26  24  -0.06405315
 27   5   0.04266464
 27   8  -0.00923486
 28   2   0.00274839
 28   6  -0.04608411
 29   0   0.06150923
 29  21   0.27647091
 29  35   0.18152093
 30   3  -0.01017174
 30  23   0.10296137
 31   1  -0.00250579
 31   4  -0.02928219
 31   7   0.03834828
 31  22   0.38162419
 31  24   0.01147026
 32   5  -0.00377857
 32   8  -0.01957462
 33   3  -0.04174945
 33  23   0.27209879
 34   1   0.03400114
 34   4   0.07959030
 34   7   0.07025648
 34  22  -0.02240138
 34  24   0.37732068
 36   1  -0.01059743
 36   4  -0.01951004
 36   7   0.01195192
 36  22   0.00996968
 36  24   0.06509601
 37   5  -0.00518568
 37   8  -0.04947634
 38   3  -0.00041396
 38  23   0.18500366
 39   1  -0.00173196
 39   4  -0.05320784
 39   7   0.04013619
 39  22  -0.03927648
 39  24  -0.31834841
 40   0   0.03836160
 40  21   0.16141696
 40  35   0.35725195
 41   3  -0.08853944
 41  23   0.00534738
 42   9   0.01910271
 42  29   0.01127877
 42  40  -0.04834549
 43  11   0.04731420
 43  16  -0.00102805
 43  19  -0.01510373
 43  26  -0.00783695
 43  31  -0.03215627
 43  34  -0.01696176
 43  36  -0.00560553
 43  39  -0.01862752
 44  13   0.07117853
 44  18  -0.00322371
 44  28   0.00153058
 45  10   0.01499652
 45  15  -0.01312000
 45  25   0.31042444
 45  30   0.00944919
 45  33  -0.01786114
 45  38  -0.06062361
 45  41   0.10054689
 46  11   0.00489803
 46  16   0.02649796
 46  19   0.00302728
 46  26  -0.37927015
 46  31   0.03011948
 46  34   0.04967562
 46  36   0.05243422
 46  39  -0.07170320
 47  12   0.00267994
 47  17   0.05280392
 47  20   0.00559004
 47  27   0.47678437
 47  32   0.00554150
 47  37   0.01645734
 48  13  -0.00246986
 48  18   0.02932102
 48  28  -0.51744148
 49  11  -0.01467027
 49  16   0.00678212
 49  19  -0.00458419
 49  26  -0.04375428
 49  31  -0.06819467
 49  34  -0.10254188
 49  36   0.54970608
 49  39  -0.00465233
 50  12   0.00834046
 50  17  -0.00913043
 50  20   0.04575169
 50  27  -0.00219391
 50  32   0.02108877
 50  37  -0.67480184
 51   9   0.01108630
 51  29   0.01503206
 51  40   0.20028825
 52  11  -0.03182627
 52  16   0.01441004
 52  19  -0.05901327
 52  26  -0.02823168
 52  31   0.28208834
 52  34  -0.03000781
 52  36  -0.03110389
 52  39   0.09535774
 53  10  -0.00756830
 53  15  -0.02589391
 53  25  -0.04961675
 53  30  -0.09348240
 53  33   0.21715428
 53  38   0.31045326
 53  41  -0.00357335
 54  11  -0.00067657
 54  16   0.05235771
 54  19   0.00113195
 54  26  -0.06524423
 54  31  -0.08120319
 54  34   0.26489592
 54  36  -0.10621393
 54  39  -0.32450291
 55   9  -0.04211378
 55  29   0.20274850
 55  40   0.05552597

Jf nJf  Ji nJi  Lambda =   1 1      1 1      0
-------------- OBTD ---------------------
  3   0  -0.00289760
  4   1   0.12370533
  5   2  -0.16628099

-------------- TBTD ---------------------
  9   0  -0.00020076
  9  21   0.01394199
  9  35  -0.01061309
 10   3  -0.00085223
 10  23  -0.01126182
 11   1  -0.00340354
 11   4   0.00324667
 11   7   0.00140310
 11  22  -0.01300292
 11  24  -0.00491073
 12   5   0.00925326
 12   8   0.00932012
 13   2  -0.00535452
 13   6  -0.00246055
 15   3   0.11243002
 15  23   0.02759137
 16   1   0.00438394
 16   4   0.13375664
 16   7  -0.01076686
 16  22   0.01956216
 16  24  -0.05246081
 17   5   0.12774087
 17   8   0.00311564
 18   2   0.00833159
 18   6   0.17564481
 19   1  -0.00345918
 19   4  -0.01102230
 19   7  -0.24712059
 19  22  -0.02742162
 19  24   0.01243893
 20   5   0.02334559
 20   8  -0.27906649
 25   3  -0.00209395
 25  23   0.00838267
 26   1  -0.00155501
 26   4  -0.00061391
 26   7  -0.00295736
 26  22   0.02565453
 26  24   0.02719922
 27   5   0.00423211
 27   8   0.00910172
 28   2  -0.00153656
 28   6   0.00009545
 29   0   0.00004429
 29  21   0.12892954
 29  35  -0.06042627
 30   3   0.01002452
 30  23  -0.06869367
 31   1  -0.00280280
 31   4   0.00301529
 31   7  -0.00690637
 31  22   0.05849876
 31  24  -0.01849015
 32   5  -0.00581838
 32   8   0.01111467
 33   3   0.01247769
 33  23  -0.12786066
 34   1  -0.00632272
 34   4  -0.00800532
 34   7  -0.00839083
 34  22   0.04977428
 34  24  -0.17379910
 36   1   0.00111352
 36   4   0.00442085
 36   7  -0.00037602
 36  22  -0.02862939
 36  24  -0.01995662
 37   5   0.01749364
 37   8   0.01433637
 38   3   0.00918181
 38  23   0.11914880
 39   1   0.00510711
 39   4   0.01960604
 39   7  -0.01997471
 39  22   0.01728446
 39  24  -0.13160262
 40   0  -0.00408865
 40  21  -0.01349240
 40  35  -0.15231417
 41   3   0.00578709
 41  23  -0.00393822
 42   9   0.00017479
 42  29   0.01344548
 42  40  -0.00957092
 43  11  -0.00344790
 43  16  -0.00380979
 43  19   0.00159766
 43  26  -0.00936667
 43  31  -0.01248751
 43  34   0.00799416
 43  36   0.00058293
 43  39   0.01423633
 44  13  -0.00548767
 44  18   0.00159308
 44  28   0.00565824
 45  10  -0.00050050
 45  15  -0.00118950
 45  25   0.11189226
 45  30  -0.01656705
 45  33   0.02397772
 45  38   0.01241775
 45  41  -0.03396288
 46  11   0.00431649
 46  16   0.00811544
 46  19  -0.00037626
 46  26  -0.12571725
 46  31  -0.00365946
 46  34  -0.05076131
 46  36  -0.00839038
 46  39   0.03042201
 47  12  -0.00386696
 47  17  -0.01177440
 47  20  -0.00268922
 47  27   0.14214844
 47  32   0.04854242
 47  37  -0.01563617
 48  13   0.00721469
 48  18  -0.00010374
 48  28  -0.17425629
 49  11  -0.00176247
 49  16  -0.01245690
 49  19   0.00124431
 49  26  -0.00590492
 49  31  -0.03836869
 49  34   0.01594419
 49  36  -0.24637388
 49  39   0.02199800
 50  12  -0.00299768
 50  17   0.00201204
 50  20  -0.00387348
 50  27   0.00448605
 50  32   0.00407322
 50  37   0.28763694
 51   9   0.00090693
 51  29   0.12668756
 51  40  -0.05761311
 52  11  -0.00417408
 52  16   0.02639408
 52  19   0.00829353
 52  26   0.02098117
 52  31   0.06353020
 52  34  -0.05052520
 52  36  -0.02066448
 52  39  -0.02444326
 53  10  -0.01812501
 53  15   0.07094017
 53  25  -0.05317618
 53  30   0.03232728
 53  33  -0.02366815
 53  38   0.01068833
 53  41  -0.08562922
 54  11  -0.00864640
 54  16   0.04200945
 54  19  -0.00546153
 54  26   0.07713953
 54  31   0.01640585
 54  34   0.11915674
 54  36   0.01859405
 54  39   0.16754154
 55   9  -0.00491269
 55  29  -0.01544364
 55  40  -0.15076121

Jf nJf  Ji nJi  Lambda =   1 2      1 1      0
-------------- OBTD ---------------------
  3   0  -0.00209181
  4   1  -0.09075183
  5   2   0.12906567

-------------- TBTD ---------------------
  9   0   0.00157205
  9  21   0.00714340
  9  35   0.00944408
 10   3  -0.00247831
 10  23   0.00331668
 11   1  -0.00141155
 11   4  -0.00367377
 11   7  -0.00048660
 11  22  -0.00339236
 11  24   0.00405519
 12   5   0.00075664
 12   8  -0.00500251
 13   2  -0.00382232
 13   6  -0.00006866
 15   3  -0.08207214
 15  23  -0.00893184
 16   1  -0.00287384
 16   4  -0.09712491
 16   7  -0.00074821
 16  22  -0.02024673
 16  24   0.02380473
 17   5  -0.10299409
 17   8   0.00176628
 18   2   0.00334620
 18   6  -0.12806038
 19   1   0.00039843
 19   4   0.00154230
 19   7   0.18972629
 19  22  -0.00482618
 19  24  -0.00359738
 20   5   0.00787889
 20   8   0.22369830
 25   3  -0.00243420
 25  23  -0.01630589
 26   1  -0.00447850
 26   4   0.00102783
 26   7  -0.00492535
 26  22  -0.01836601
 26  24  -0.01980608
 27   5  -0.00207748
 27   8  -0.00420233
 28   2   0.00017735
 28   6   0.00713347
 29   0  -0.02549767
 29  21  -0.12414156
 29  35   0.01889891
 30   3  -0.01370009
 30  23   0.05178873
 31   1   0.01724565
 31   4  -0.00938973
 31   7   0.02999206
 31  22  -0.01598038
 31  24  -0.01973276
 32   5   0.01751093
 32   8  -0.00486167
 33   3   0.00539722
 33  23   0.08253925
 34   1  -0.00449254
 34   4  -0.00045552
 34   7   0.00495766
 34  22   0.02952697
 34  24   0.13085911
 36   1   0.00230999
 36   4  -0.00253549
 36   7  -0.00165935
 36  22   0.00499097
 36  24   0.01846853
 37   5  -0.00187332
 37   8  -0.00357714
 38   3  -0.00186910
 38  23  -0.10147448
 39   1  -0.00303630
 39   4  -0.03275878
 39   7   0.00429235
 39  22  -0.04673989
 39  24   0.09644962
 40   0   0.02619253
 40  21   0.06003831
 40  35   0.13511028
 41   3  -0.00600855
 41  23  -0.00058161
 42   9   0.00220901
 42  29   0.00800152
 42  40   0.00943346
 43  11  -0.00159645
 43  16   0.00222560
 43  19  -0.00175344
 43  26   0.00773450
 43  31  -0.00330796
 43  34  -0.00665661
 43  36   0.00090601
 43  39  -0.01275911
 44  13  -0.00391840
 44  18  -0.00126299
 44  28  -0.00115032
 45  10  -0.01206700
 45  15   0.00387416
 45  25  -0.08863230
 45  30   0.06030679
 45  33  -0.01232558
 45  38  -0.01407416
 45  41   0.00125708
 46  11   0.00057183
 46  16  -0.00767794
 46  19  -0.00161351
 46  26   0.09040978
 46  31  -0.00191729
 46  34   0.01043913
 46  36   0.00546681
 46  39  -0.03613651
 47  12   0.00774122
 47  17   0.00972936
 47  20   0.01998352
 47  27  -0.11320978
 47  32  -0.07072693
 47  37   0.02300320
 48  13   0.00230074
 48  18  -0.00584458
 48  28   0.12828266
 49  11   0.00189947
 49  16   0.00487443
 49  19  -0.00838204
 49  26   0.00537004
 49  31   0.00110627
 49  34  -0.00613583
 49  36   0.19491327
 49  39  -0.02108605
 50  12   0.00012928
 50  17   0.00842742
 50  20  -0.00054765
 50  27   0.00129638
 50  32  -0.02088258
 50  37  -0.22636201
 51   9  -0.02669420
 51  29  -0.12339528
 51  40   0.01738550
 52  11   0.01721120
 52  16   0.01075072
 52  19   0.02600077
 52  26   0.02292313
 52  31  -0.01975286
 52  34  -0.01352989
 52  36   0.01811908
 52  39   0.01194411
 53  10   0.02186620
 53  15  -0.02102999
 53  25   0.02191504
 53  30   0.00917319
 53  33   0.00541330
 53  38  -0.01740382
 53  41   0.09598817
 54  11   0.00052687
 54  16  -0.01229967
 54  19   0.01498282
 54  26  -0.04601441
 54  31   0.05001261
 54  34  -0.08245861
 54  36  -0.01578559
 54  39  -0.11795086
 55   9   0.02979682
 55  29   0.06403087
 55  40   0.13567443

Jf nJf  Ji nJi  Lambda =   1 1      1 2      0
-------------- OBTD ---------------------
  3   0  -0.01056482
  4   1  -0.01969368
  5   2   0.04414848

-------------- TBTD ---------------------
  9   0  -0.01014055
  9  21   0.03065185
  9  35  -0.04345453
 10   3   0.00147348
 10  23   0.01608960
 11   1  -0.01259569
 11   4   0.00724257
 11   7   0.00152877
 11  22   0.01159889
 11  24   0.00393705
 12   5  -0.00091872
 12   8  -0.00115291
 13   2  -0.01812277
 13   6  -0.00284445
 15   3  -0.02078910
 15  23  -0.01686575
 16   1   0.00245045
 16   4  -0.01627573
 16   7   0.01070273
 16  22   0.02779047
 16  24  -0.00803914
 17   5  -0.02259707
 17   8  -0.00188064
 18   2   0.00074171
 18   6  -0.03209418
 19   1  -0.00158519
 19   4   0.01166003
 19   7   0.06712869
 19  22   0.01342698
 19  24   0.01136192
 20   5   0.00153256
 20   8   0.08312748
 25   3  -0.00163081
 25  23   0.01937273
 26   1  -0.00423382
 26   4   0.00336547
 26   7   0.00451357
 26  22  -0.01160174
 26  24  -0.00950891
 27   5  -0.00941403
 27   8   0.00882926
 28   2   0.00364816
 28   6   0.01552497
 29   0   0.00293650
 29  21   0.08843377
 29  35  -0.08577334
 30   3  -0.00220339
 30  23  -0.02382992
 31   1  -0.00299741
 31   4   0.00979623
 31   7   0.04266519
 31  22  -0.07201022
 31  24   0.02691364
 32   5   0.02944582
 32   8   0.06844234
 33   3   0.02500806
 33  23   0.08251963
 34   1   0.00767017
 34   4   0.02909311
 34   7  -0.00895101
 34  22   0.04419607
 34  24   0.03318155
 36   1  -0.00351664
 36   4  -0.01408000
 36   7  -0.00579420
 36  22   0.00948874
 36  24   0.01351944
 37   5  -0.00048499
 37   8   0.00266728
 38   3  -0.03219363
 38  23  -0.04023949
 39   1   0.02157230
 39   4   0.06682959
 39   7   0.01928797
 39  22   0.13123730
 39  24  -0.02072072
 40   0  -0.03371996
 40  21  -0.02624766
 40  35  -0.01785087
 41   3   0.00790803
 41  23   0.05594596
 42   9  -0.01000556
 42  29   0.03240767
 42  40  -0.04493354
 43  11  -0.01253545
 43  16   0.00618465
 43  19   0.00139231
 43  26  -0.00414897
 43  31   0.01105531
 43  34  -0.00754602
 43  36   0.00116257
 43  39  -0.01267407
 44  13  -0.01807652
 44  18  -0.00409106
 44  28   0.00017676
 45  10  -0.00541448
 45  15   0.00257820
 45  25  -0.02524361
 45  30  -0.02479860
 45  33  -0.00755093
 45  38   0.01016779
 45  41  -0.01377005
 46  11   0.00509742
 46  16  -0.00274335
 46  19  -0.00815906
 46  26   0.01735079
 46  31   0.02886475
 46  34  -0.01243733
 46  36   0.01557233
 46  39  -0.01314575
 47  12   0.00492440
 47  17   0.00226876
 47  20   0.01428717
 47  27  -0.03443777
 47  32  -0.01588329
 47  37   0.00777080
 48  13  -0.00222534
 48  18  -0.01834824
 48  28   0.02992262
 49  11  -0.00401065
 49  16  -0.00061433
 49  19  -0.00687096
 49  26   0.00128808
 49  31   0.01559563
 49  34   0.00812105
 49  36   0.06860244
 49  39  -0.01769176
 50  12   0.00080047
 50  17   0.00108510
 50  20  -0.00395717
