############################################################################################################
# initial vector basename: mg220
# final   vector basename: mg220
# Operator file: Rn2.int
# Zero body term: 4.36214
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -43.893     -43.893    2.295310e+00   -2.781455e-01    2.017165e+00    6.379305e+00
 0.0   1     0.0   2    -43.893     -37.508    7.477578e-02   -8.653190e-03    6.612259e-02    6.612259e-02
 0.0   2     0.0   1    -37.508     -43.893    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -37.508     -37.508    2.356485e+00   -2.772842e-01    2.079201e+00    6.441341e+00
 1.0   1     1.0   1    -37.884     -37.884    2.358027e+00   -2.853056e-01    2.072721e+00    6.434861e+00
 1.0   1     1.0   2    -37.884     -36.618    4.285030e-03    9.057462e-03    1.334249e-02    1.334249e-02
 1.0   2     1.0   1    -36.618     -37.884    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -36.618     -36.618    2.423027e+00   -2.835402e-01    2.139486e+00    6.501626e+00
