############################################################################################################
# initial vector basename: mg220
# final   vector basename: mg220
# Operator file: VCoul.int
# Zero body term: 14.3073
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -43.893     -43.893    1.316624e+01    3.165270e+00    1.633151e+01    3.063881e+01
 0.0   1     0.0   2    -43.893     -37.508    8.171662e-02    5.123560e-02    1.329522e-01    1.329522e-01
 0.0   2     0.0   1    -37.508     -43.893    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -37.508     -37.508    1.282647e+01    2.832218e+00    1.565868e+01    2.996598e+01
 1.0   1     1.0   1    -37.884     -37.884    1.312252e+01    2.846974e+00    1.596949e+01    3.027679e+01
 1.0   1     1.0   2    -37.884     -36.618    1.100414e-01    9.576856e-02    2.058100e-01    2.058100e-01
 1.0   2     1.0   1    -36.618     -37.884    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -36.618     -36.618    1.298958e+01    2.884994e+00    1.587457e+01    3.018187e+01
