############################################################################################################
# initial vector basename: na220
# final   vector basename: na220
# Operator file: Rp2.int
# Zero body term: 4.43488
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -48.900     -48.900    3.421521e+00   -4.320087e-01    2.989512e+00    7.424392e+00
 0.0   1     0.0   2    -48.900     -42.190    2.955969e-03   -1.451946e-02   -1.156349e-02   -1.156349e-02
 0.0   2     0.0   1    -42.190     -48.900    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -42.190     -42.190    3.645487e+00   -3.969749e-01    3.248512e+00    7.683392e+00
 1.0   1     1.0   1    -49.593     -49.593    3.520142e+00   -4.663691e-01    3.053773e+00    7.488653e+00
 1.0   1     1.0   2    -49.593     -48.552    7.532360e-02   -9.033359e-03    6.629024e-02    6.629024e-02
 1.0   2     1.0   1    -48.552     -49.593    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -48.552     -48.552    3.709952e+00   -4.673616e-01    3.242591e+00    7.677471e+00
