############################################################################################################
# initial vector basename: na220
# final   vector basename: na220
# Operator file: Rn2.int
# Zero body term: 4.36214
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -48.900     -48.900    3.256688e+00   -3.253581e-01    2.931330e+00    7.293470e+00
 0.0   1     0.0   2    -48.900     -42.190    2.705358e-03   -1.319411e-02   -1.048875e-02   -1.048875e-02
 0.0   2     0.0   1    -42.190     -48.900    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -42.190     -42.190    3.449889e+00   -3.023367e-01    3.147552e+00    7.509692e+00
 1.0   1     1.0   1    -49.593     -49.593    3.345613e+00   -3.516077e-01    2.994005e+00    7.356145e+00
 1.0   1     1.0   2    -49.593     -48.552    6.699486e-02   -2.202481e-03    6.479238e-02    6.479238e-02
 1.0   2     1.0   1    -48.552     -49.593    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -48.552     -48.552    3.510682e+00   -3.423409e-01    3.168341e+00    7.530481e+00
