############################################################################################################
# initial vector basename: s_340
# final   vector basename: s_340
# Operator file: Rp2.int
# Zero body term: 2.96815
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1   -192.236    -192.236    6.121238e+00   -7.010779e-01    5.420160e+00    8.388310e+00
 0.0   1     0.0   2   -192.236    -187.507   -2.058182e-02   -2.981326e-02   -5.039508e-02   -5.039508e-02
 0.0   2     0.0   1   -187.507    -192.236    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2   -187.507    -187.507    6.080130e+00   -6.329756e-01    5.447154e+00    8.415304e+00
 1.0   1     1.0   1   -188.192    -188.192    6.084331e+00   -6.557692e-01    5.428562e+00    8.396712e+00
 1.0   1     1.0   2   -188.192    -185.578    1.103040e-02   -9.066487e-03    1.963913e-03    1.963913e-03
 1.0   2     1.0   1   -185.578    -188.192    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2   -185.578    -185.578    6.056707e+00   -6.921306e-01    5.364576e+00    8.332726e+00
