############################################################################################################
# initial vector basename: ne180
# final   vector basename: ne180
# Operator file: Iso2.int
# Zero body term: 0.00371457
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1     -4.187      -4.187    1.498883e+00    4.998478e-01    1.998731e+00    2.002445e+00
 0.0   1     0.0   2     -4.187       0.697    3.616648e-04   -1.574131e-04    2.042517e-04    2.042517e-04
 0.0   2     0.0   1      0.697      -4.187    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2      0.697       0.697    1.500026e+00    5.002640e-01    2.000290e+00    2.004004e+00
 1.0   1     1.0   1      4.984       4.984    1.499451e+00    5.002427e-01    1.999694e+00    2.003409e+00
 1.0   1     1.0   2      4.984       6.351   -3.197352e-05   -4.764067e-05   -7.961418e-05   -7.961418e-05
 1.0   2     1.0   1      6.351       4.984    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2      6.351       6.351    1.500142e+00    5.001003e-01    2.000243e+00    2.003957e+00
