############################################################################################################
# initial vector basename: mg220
# final   vector basename: mg220
# Operator file: Rn2.int
# Zero body term: 4.0048
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -43.999     -43.999    2.101637e+00   -2.740533e-01    1.827583e+00    5.832383e+00
 0.0   1     0.0   2    -43.999     -37.571    6.668548e-02   -7.485842e-03    5.919964e-02    5.919964e-02
 0.0   2     0.0   1    -37.571     -43.999    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -37.571     -37.571    2.167703e+00   -2.809801e-01    1.886722e+00    5.891522e+00
 1.0   1     1.0   1    -37.858     -37.858    2.160849e+00   -2.845191e-01    1.876330e+00    5.881130e+00
 1.0   1     1.0   2    -37.858     -36.578   -6.129511e-03   -1.012231e-02   -1.625182e-02   -1.625182e-02
 1.0   2     1.0   1    -36.578     -37.858    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -36.578     -36.578    2.224185e+00   -2.849695e-01    1.939215e+00    5.944015e+00
