############################################################################################################
# initial vector basename: ne220
# final   vector basename: ne220
# Operator file: VCoul.int
# Zero body term: 14.2948
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -52.994     -52.994    6.429683e+00    9.348430e-01    7.364526e+00    2.165933e+01
 0.0   1     0.0   2    -52.994     -46.312    8.025099e-02   -2.224331e-02    5.800767e-02    5.800767e-02
 0.0   2     0.0   1    -46.312     -52.994    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -46.312     -46.312    6.335314e+00    8.135083e-01    7.148823e+00    2.144362e+01
 1.0   1     1.0   1    -46.785     -46.785    6.362138e+00    8.777876e-01    7.239925e+00    2.153473e+01
 1.0   1     1.0   2    -46.785     -45.371   -6.583584e-03   -2.044886e-02   -2.703245e-02   -2.703245e-02
 1.0   2     1.0   1    -45.371     -46.785    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -45.371     -45.371    6.244857e+00    8.311962e-01    7.076053e+00    2.137085e+01
