############################################################################################################
# initial vector basename: si300
# final   vector basename: si300
# Operator file: Iso2.int
# Zero body term: 0.0244424
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1   -143.957    -143.957    1.044350e+01   -8.466409e+00    1.977086e+00    2.001529e+00
 0.0   1     0.0   2   -143.957    -139.072    2.215007e-03   -1.464796e-03    7.502115e-04    7.502115e-04
 0.0   2     0.0   1   -139.072    -143.957    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2   -139.072    -139.072    1.044464e+01   -8.465080e+00    1.979560e+00    2.004002e+00
 1.0   1     1.0   1   -139.264    -139.264    1.044453e+01   -8.465509e+00    1.979024e+00    2.003467e+00
 1.0   1     1.0   2   -139.264    -136.321    8.094636e-04   -8.964083e-04   -8.694469e-05   -8.694469e-05
 1.0   2     1.0   1   -136.321    -139.264    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2   -136.321    -136.321    1.044750e+01   -8.468950e+00    1.978549e+00    2.002991e+00
