############################################################################################################
# initial vector basename: si300
# final   vector basename: si300
# Operator file: Rp2.int
# Zero body term: 3.49804
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1   -143.957    -143.957    5.307131e+00   -7.197080e-01    4.587423e+00    8.085463e+00
 0.0   1     0.0   2   -143.957    -139.072   -3.881381e-02   -2.783418e-03   -4.159723e-02   -4.159723e-02
 0.0   2     0.0   1   -139.072    -143.957    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2   -139.072    -139.072    5.247845e+00   -7.035925e-01    4.544253e+00    8.042293e+00
 1.0   1     1.0   1   -139.264    -139.264    5.253111e+00   -7.087714e-01    4.544340e+00    8.042380e+00
 1.0   1     1.0   2   -139.264    -136.321    4.840734e-02   -8.570844e-03    3.983649e-02    3.983649e-02
 1.0   2     1.0   1   -136.321    -139.264    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2   -136.321    -136.321    5.532498e+00   -6.607027e-01    4.871795e+00    8.369835e+00
