############################################################################################################
# initial vector basename: si260
# final   vector basename: si260
# Operator file: Rp2.int
# Zero body term: 3.51249
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -86.843     -86.843    5.390691e+00   -5.767612e-01    4.813930e+00    8.326420e+00
 0.0   1     0.0   2    -86.843     -83.478   -1.969529e-01   -1.771368e-02   -2.146666e-01   -2.146666e-01
 0.0   2     0.0   1    -83.478     -86.843    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -83.478     -83.478    5.578962e+00   -4.958739e-01    5.083088e+00    8.595578e+00
 1.0   1     1.0   1    -80.930     -80.930    5.648778e+00   -5.342184e-01    5.114560e+00    8.627050e+00
 1.0   1     1.0   2    -80.930     -80.257    3.105110e-02    3.313906e-02    6.419016e-02    6.419016e-02
 1.0   2     1.0   1    -80.257     -80.930    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -80.257     -80.257    5.657000e+00   -5.168509e-01    5.140149e+00    8.652639e+00
