############################################################################################################
# initial vector basename: mg260
# final   vector basename: mg260
# Operator file: Rp2.int
# Zero body term: 3.51249
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -97.448     -97.448    3.570531e+00   -5.879679e-01    2.982563e+00    6.495053e+00
 0.0   1     0.0   2    -97.448     -93.430   -2.622188e-02    2.314391e-02   -3.077967e-03   -3.077967e-03
 0.0   2     0.0   1    -93.430     -97.448    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -93.430     -93.430    3.644809e+00   -6.271225e-01    3.017686e+00    6.530176e+00
 1.0   1     1.0   1    -91.383     -91.383    3.718116e+00   -5.457785e-01    3.172337e+00    6.684827e+00
 1.0   1     1.0   2    -91.383     -90.190   -1.023149e-03   -2.795931e-02   -2.898246e-02   -2.898246e-02
 1.0   2     1.0   1    -90.190     -91.383    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -90.190     -90.190    3.672327e+00   -6.011809e-01    3.071146e+00    6.583636e+00
