# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
 29   0  -0.21071566
 29  21  -0.16980108
 29  35  -0.12651754
 30   3  -0.02790550
 30  23   0.00349487
 31   1   0.10045251
 31   4   0.00467173
 31   7   0.03538837
 31  22  -0.07444865
 31  24   0.00141240
 32   5   0.03128989
 32   8   0.02019128
 33   3   0.03332816
 33  23  -0.00110854
 34   1  -0.12763864
 34   4  -0.05058829
 34   7  -0.04635426
 34  22   0.01488585
 34  24   0.00960169
 36   1  -0.04975616
 36   4  -0.02738120
 36   7   0.04390319
 36  22   0.01463203
 36  24  -0.01864667
 37   5  -0.02747998
 37   8   0.00903844
 38   3  -0.03451429
 38  23  -0.01693971
 39   1   0.09691385
 39   4  -0.04153271
 39   7  -0.01851127
 39  22  -0.03423438
 39  24   0.03913284
 40   0  -0.09989681
 40  21  -0.08258123
 40  35  -0.05814463
 41   3   0.05743877
 41  23  -0.00570161
 42   9  -0.12378163
 42  29  -0.01315954
 42  40  -0.00952140
 43  11   0.14117502
 43  16   0.04434106
 43  19  -0.03397993
 43  26   0.01492724
 43  31   0.02211701
 43  34  -0.03094856
 43  36   0.04661221
 43  39   0.05884767
 44  13   0.24123341
 44  18  -0.03374146
 44  28  -0.04767216
 45  10  -0.00729407
 45  15   0.03683618
 45  25  -0.17201187
 45  30   0.03030370
 45  33  -0.02510099
 45  38   0.03804075
 45  41  -0.06817747
 46  11   0.00951639
 46  16   0.03744840
 46  19  -0.03587151
 46  26   0.11021595
 46  31  -0.01762659
 46  34   0.05112737
 46  36  -0.07840530
 46  39   0.03414047
 47  12   0.03152660
 47  17   0.03121504
 47  20   0.03287005
 47  27  -0.08899148
 47  32  -0.02145827
 47  37  -0.05275757
 48  13  -0.00858280
 48  18   0.02156683
 48  28   0.18731691
 49  11   0.01916004
 49  16  -0.02181387
 49  19   0.02320540
 49  26   0.08216554
 49  31  -0.02734641
 49  34   0.03914952
 49  36  -0.03670200
 49  39   0.01737343
 50  12  -0.11304397
 50  17   0.04841043
 50  20  -0.00232224
 50  27   0.03583598
 50  32  -0.01669685
 50  37   0.04219149
 51   9  -0.03858736
 51  29  -0.02094164
 51  40  -0.02229591
 52  11   0.01095589
 52  16   0.02076835
 52  19   0.00465389
 52  26   0.03967687
 52  31  -0.04152768
 52  34   0.01574764
 52  36  -0.04776163
 52  39   0.00734188
 53  10   0.00949669
 53  15  -0.01046694
 53  25   0.02432119
 53  30  -0.00717108
 53  33  -0.01315067
 53  38   0.00215697
 53  41   0.00699618
 54  11  -0.06758445
 54  16  -0.00937455
 54  19  -0.01042496
 54  26  -0.03002479
 54  31   0.00207207
 54  34  -0.03617964
 54  36   0.04259623
 54  39  -0.01108761
 55   9  -0.01162103
 55  29  -0.01719098
 55  40  -0.01571068

Jf nJf  Ji nJi  Lambda =   0 1      0 2      0
-------------- OBTD ---------------------
  3   0  -0.18585825
  4   1   0.18986506
  5   2   0.02596113

-------------- TBTD ---------------------
  9   0  -0.01112412
  9  21   0.21281826
  9  35   0.10088178
 10   3  -0.00233554
 10  23   0.00721358
 11   1  -0.24359207
 11   4  -0.01904853
 11   7   0.02236618
 11  22  -0.10023400
 11  24   0.16260652
 12   5   0.03313206
 12   8  -0.11237712
 13   2  -0.27150441
 13   6   0.00911992
 15   3   0.16254017
 15  23  -0.01494046
 16   1   0.02378685
 16   4   0.10909136
 16   7   0.07111566
 16  22   0.02460774
 16  24  -0.01239281
 17   5   0.09069135
 17   8  -0.03336580
 18   2  -0.01843122
 18   6   0.19459280
 19   1  -0.06995491
 19   4   0.04946228
 19   7   0.00964541
 19  22   0.00044225
 19  24  -0.01250529
 20   5  -0.05632034
 20   8   0.04048346
 25   3  -0.03844136
 25  23   0.01784286
 26   1   0.02931626
 26   4   0.03881515
 26   7  -0.01712280
 26  22   0.03419808
 26  24  -0.02240825
 27   5  -0.02588148
 27   8  -0.04671757
 28   2  -0.06232541
 28   6   0.00726198
 29   0  -0.04846555
 29  21   0.16408664
 29  35   0.07988464
 30   3   0.02827726
 30  23  -0.00622323
 31   1   0.01498840
 31   4   0.00750107
 31   7   0.01735279
 31  22   0.06882272
 31  24  -0.03188880
 32   5  -0.01953307
 32   8  -0.01529337
 33   3  -0.03128980
 33  23   0.00109240
 34   1   0.05014383
 34   4   0.04978289
 34   7   0.02157460
 34  22   0.01264219
 34  24  -0.01072510
 36   1   0.01028858
 36   4   0.00765311
 36   7  -0.04553100
 36  22  -0.05298346
 36  24   0.03924230
 37   5   0.03730631
 37   8  -0.00268051
 38   3   0.02795719
 38  23   0.01394413
 39   1  -0.01818105
 39   4   0.03237880
 39   7   0.02900112
 39  22   0.01067101
 39  24  -0.03381824
 40   0  -0.04777974
 40  21   0.12306450
 40  35   0.05443725
 41   3  -0.06367247
 41  23   0.00618781
 42   9   0.13567677
 42  29   0.04280435
 42  40   0.02068527
 43  11  -0.15934690
 43  16  -0.03368491
 43  19   0.02435293
 43  26  -0.02081071
 43  31  -0.00991490
 43  34   0.04159647
 43  36  -0.05098468
 43  39  -0.05647558
 44  13  -0.26375106
 44  18   0.04507368
 44  28   0.03678872
 45  10  -0.03921300
 45  15  -0.01132964
 45  25   0.13527296
 45  30  -0.02656535
 45  33   0.02623442
 45  38  -0.03798979
 45  41   0.05328198
 46  11  -0.02584316
 46  16  -0.04280495
 46  19   0.03471527
 46  26  -0.10791236
 46  31   0.01127008
 46  34  -0.05408638
 46  36   0.06718735
 46  39  -0.03353526
 47  12  -0.01581493
 47  17  -0.04778450
 47  20  -0.02713892
 47  27   0.09675957
 47  32   0.03184233
 47  37   0.05218067
 48  13  -0.00806834
 48  18  -0.02393124
 48  28  -0.17687974
 49  11  -0.01182449
 49  16   0.04057339
 49  19  -0.03006825
 49  26  -0.07230210
 49  31   0.02907494
 49  34  -0.04590158
 49  36   0.03258170
 49  39  -0.01533239
 50  12   0.10623928
 50  17  -0.04944793
 50  20  -0.00348285
 50  27  -0.03711732
 50  32   0.02069048
 50  37  -0.03399261
 51   9   0.02229819
 51  29   0.02335662
 51  40   0.02128851
 52  11  -0.02430046
 52  16  -0.00998247
 52  19  -0.00691059
