############################################################################################################
# initial vector basename: mg260
# final   vector basename: mg260
# Operator file: VCoul.int
# Zero body term: 14.426
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -97.448     -97.448    1.266353e+01    3.818250e+00    1.648178e+01    3.090778e+01
 0.0   1     0.0   2    -97.448     -93.430   -1.994018e-02   -3.069935e-02   -5.063953e-02   -5.063953e-02
 0.0   2     0.0   1    -93.430     -97.448    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -93.430     -93.430    1.262473e+01    3.876174e+00    1.650091e+01    3.092691e+01
 1.0   1     1.0   1    -91.383     -91.383    1.253722e+01    3.547602e+00    1.608482e+01    3.051082e+01
 1.0   1     1.0   2    -91.383     -90.189    4.598136e-03   -8.634085e-02   -8.174272e-02   -8.174272e-02
 1.0   2     1.0   1    -90.189     -91.383    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -90.189     -90.189    1.260558e+01    3.760894e+00    1.636647e+01    3.079247e+01
