# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  4   0  -0.05700287
  4  10   0.09086467
  5   2   0.07038997
  6   1   0.11515279
  6   3  -0.02912317
  8   2  -0.09968928
  9   1   0.02939824
  9   3  -0.12391759
 11   2   0.02849985
 12   1  -0.02896162
 12   3  -0.01893720
 13   0  -0.00831647
 13  10   0.02339536
 14   2   0.05605796
 15   4  -0.05954452
 15  13   0.08948527
 16   6   0.11782182
 16   9   0.11376659
 16  12   0.15790025
 17   5   0.08385430
 17   8   0.04825857
 17  11  -0.11619183
 17  14  -0.03327221
 18   6   0.04208217
 18   9  -0.05447225
 18  12   0.04803038
 19   4  -0.00906517
 19  13   0.02182837
