############################################################################################################
# initial vector basename: b_100
# final   vector basename: b_100
# Operator file: Iso2.int
# Zero body term: -0.00100341
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -38.159     -38.159    4.505623e+00   -2.502332e+00    2.003291e+00    2.002288e+00
 0.0   1     0.0   2    -38.159     -27.925   -1.414961e-04   -5.023367e-03   -5.164863e-03   -5.164863e-03
 0.0   2     0.0   1    -27.925     -38.159    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -27.925     -27.925    4.506347e+00   -2.501235e+00    2.005112e+00    2.004109e+00
 1.0   1     1.0   1    -40.184     -40.184    4.506187e+00   -4.499824e+00    6.363226e-03    5.359816e-03
 1.0   1     1.0   2    -40.184     -37.936   -5.571385e-06    9.416665e-04    9.360951e-04    9.360951e-04
 1.0   2     1.0   1    -37.936     -40.184    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -37.936     -37.936    4.505546e+00   -4.502013e+00    3.532947e-03    2.529537e-03
