# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
 29  35  -0.12825728
 30   3  -0.02797122
 30  23   0.00302464
 31   1   0.09887466
 31   4   0.00543641
 31   7   0.03554635
 31  22  -0.07388376
 31  24   0.00118386
 32   5   0.03211946
 32   8   0.02131737
 33   3   0.03151856
 33  23  -0.00132567
 34   1  -0.12142238
 34   4  -0.04801023
 34   7  -0.04595696
 34  22   0.01364209
 34  24   0.00953974
 36   1  -0.04980074
 36   4  -0.02753626
 36   7   0.04557200
 36  22   0.01409500
 36  24  -0.01863828
 37   5  -0.02694450
 37   8   0.00884130
 38   3  -0.03479357
 38  23  -0.01695554
 39   1   0.10118257
 39   4  -0.04095632
 39   7  -0.01902962
 39  22  -0.03432124
 39  24   0.03933511
 40   0  -0.10009565
 40  21  -0.08200183
 40  35  -0.05844034
 41   3   0.05554573
 41  23  -0.00583231
 42   9  -0.12409828
 42  29  -0.01572528
 42  40  -0.00923684
 43  11   0.14269067
 43  16   0.04511712
 43  19  -0.03367627
 43  26   0.01294400
 43  31   0.02248253
 43  34  -0.02963834
 43  36   0.04772446
 43  39   0.06056587
 44  13   0.24280007
 44  18  -0.03383947
 44  28  -0.04567940
 45  10  -0.00638400
 45  15   0.03720927
 45  25  -0.17122132
 45  30   0.03007428
 45  33  -0.02470803
 45  38   0.03952778
 45  41  -0.06893987
 46  11   0.00821428
 46  16   0.03887232
 46  19  -0.03600573
 46  26   0.11057044
 46  31  -0.01821107
 46  34   0.05125679
 46  36  -0.08227036
 46  39   0.03651432
 47  12   0.03162219
 47  17   0.03055613
 47  20   0.03349618
 47  27  -0.08766927
 47  32  -0.02060960
 47  37  -0.05595651
 48  13  -0.00737938
 48  18   0.02104922
 48  28   0.18559084
 49  11   0.01911941
 49  16  -0.02259895
 49  19   0.02299788
 49  26   0.07826192
 49  31  -0.02613080
 49  34   0.03743331
 49  36  -0.03653587
 49  39   0.01753492
 50  12  -0.11150828
 50  17   0.04757506
 50  20  -0.00156824
 50  27   0.03354566
 50  32  -0.01631183
 50  37   0.04234885
 51   9  -0.03763099
 51  29  -0.02110827
 51  40  -0.02226677
 52  11   0.00975319
 52  16   0.02161577
 52  19   0.00502287
 52  26   0.03968961
 52  31  -0.04152992
 52  34   0.01626887
 52  36  -0.05048560
 52  39   0.00758086
 53  10   0.00814888
 53  15  -0.01021190
 53  25   0.02279999
 53  30  -0.00713746
 53  33  -0.01313040
 53  38   0.00264086
 53  41   0.00644567
 54  11  -0.06804750
 54  16  -0.00886089
 54  19  -0.01026562
 54  26  -0.03072579
 54  31   0.00179910
 54  34  -0.03592513
 54  36   0.04482755
 54  39  -0.01151553
 55   9  -0.01257947
 55  29  -0.01736202
 55  40  -0.01542124

Jf nJf  Ji nJi  Lambda =   0 1      0 2      0
-------------- OBTD ---------------------
  3   0  -0.18404177
  4   1   0.18864824
  5   2   0.02838794

-------------- TBTD ---------------------
  9   0  -0.00742282
  9  21   0.20842081
  9  35   0.10367026
 10   3  -0.00249837
 10  23   0.00797836
 11   1  -0.24145999
 11   4  -0.01962357
 11   7   0.02180626
 11  22  -0.09865309
 11  24   0.16172775
 12   5   0.03285522
 12   8  -0.11358125
 13   2  -0.26749095
 13   6   0.00869169
 15   3   0.16133997
 15  23  -0.01510410
 16   1   0.02455699
 16   4   0.10820296
 16   7   0.07146149
 16  22   0.02469124
 16  24  -0.01320853
 17   5   0.08978967
 17   8  -0.03299987
 18   2  -0.01885641
 18   6   0.19287146
 19   1  -0.07181649
 19   4   0.05038494
 19   7   0.01177012
 19  22   0.00077242
 19  24  -0.01282235
 20   5  -0.05754305
 20   8   0.04345284
 25   3  -0.03895119
 25  23   0.01829578
 26   1   0.02995557
 26   4   0.03951971
 26   7  -0.01726195
 26  22   0.03445335
 26  24  -0.02290066
 27   5  -0.02730905
 27   8  -0.04740128
 28   2  -0.06207166
 28   6   0.00740999
 29   0  -0.04618553
 29  21   0.16232532
 29  35   0.08244296
 30   3   0.02822320
 30  23  -0.00645536
 31   1   0.01490691
 31   4   0.00755851
 31   7   0.01683583
 31  22   0.06874112
 31  24  -0.03211160
 32   5  -0.01935814
 32   8  -0.01578750
 33   3  -0.03165504
 33  23   0.00120020
 34   1   0.05065701
 34   4   0.05058899
 34   7   0.02278952
 34  22   0.01254354
 34  24  -0.01022651
 36   1   0.01029492
 36   4   0.00777447
 36   7  -0.04634306
 36  22  -0.05253537
 36  24   0.03967285
 37   5   0.03721719
 37   8  -0.00333751
 38   3   0.02845231
 38  23   0.01452481
 39   1  -0.01883225
 39   4   0.03281293
 39   7   0.02965451
 39  22   0.01073355
 39  24  -0.03435039
 40   0  -0.04740189
 40  21   0.12150967
 40  35   0.05673629
 41   3  -0.06447200
 41  23   0.00634395
 42   9   0.13327677
 42  29   0.04412338
 42  40   0.01892272
 43  11  -0.15723013
 43  16  -0.03450307
 43  19   0.02356619
 43  26  -0.02074970
 43  31  -0.01005807
 43  34   0.04070551
 43  36  -0.05146088
 43  39  -0.05789336
 44  13  -0.26186350
 44  18   0.04524459
 44  28   0.03626029
 45  10  -0.03858474
 45  15  -0.01151071
 45  25   0.13494047
 45  30  -0.02666686
