############################################################################################################
# initial vector basename: s_300
# final   vector basename: s_300
# Operator file: Rp2.int
# Zero body term: 3.29118
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1   -132.109    -132.109    6.795944e+00   -5.308802e-01    6.265063e+00    9.556243e+00
 0.0   1     0.0   2   -132.109    -127.304   -8.951468e-03    1.786769e-02    8.916224e-03    8.916224e-03
 0.0   2     0.0   1   -127.304    -132.109    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2   -127.304    -127.304    6.677413e+00   -4.774637e-01    6.199949e+00    9.491129e+00
 1.0   1     1.0   1   -127.477    -127.477    6.675768e+00   -4.950009e-01    6.180767e+00    9.471947e+00
 1.0   1     1.0   2   -127.477    -124.515   -2.281816e-02    8.565445e-03   -1.425271e-02   -1.425271e-02
 1.0   2     1.0   1   -124.515    -127.477    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2   -124.515    -124.515    6.919810e+00   -5.020834e-01    6.417727e+00    9.708907e+00
