############################################################################################################
# initial vector basename: si300
# final   vector basename: si300
# Operator file: Iso2.int
# Zero body term: -0.0286066
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1   -143.783    -143.783    1.053288e+01   -8.500941e+00    2.031942e+00    2.003335e+00
 0.0   1     0.0   2   -143.783    -138.731    3.128975e-03   -8.783965e-03   -5.654990e-03   -5.654990e-03
 0.0   2     0.0   1   -138.731    -143.783    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2   -138.731    -138.731    1.053586e+01   -8.497520e+00    2.038340e+00    2.009734e+00
 1.0   1     1.0   1   -138.890    -138.890    1.053735e+01   -8.496288e+00    2.041065e+00    2.012458e+00
 1.0   1     1.0   2   -138.890    -136.168   -1.342604e-03   -3.342013e-04   -1.676806e-03   -1.676806e-03
 1.0   2     1.0   1   -136.168    -138.890    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2   -136.168    -136.168    1.053413e+01   -8.501590e+00    2.032543e+00    2.003937e+00
