############################################################################################################
# initial vector basename: s_300
# final   vector basename: s_300
# Operator file: Rp2.int
# Zero body term: 3.10276
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1   -132.187    -132.187    6.393401e+00   -5.250348e-01    5.868366e+00    8.971126e+00
 0.0   1     0.0   2   -132.187    -127.509    1.152797e-02   -1.637316e-02   -4.845192e-03   -4.845192e-03
 0.0   2     0.0   1   -127.509    -132.187    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2   -127.509    -127.509    6.281983e+00   -4.664521e-01    5.815530e+00    8.918290e+00
 1.0   1     1.0   1   -127.683    -127.683    6.281419e+00   -4.841082e-01    5.797311e+00    8.900071e+00
 1.0   1     1.0   2   -127.683    -124.586   -2.461630e-02    9.524266e-03   -1.509203e-02   -1.509203e-02
 1.0   2     1.0   1   -124.586    -127.683    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2   -124.586    -124.586    6.515457e+00   -4.961612e-01    6.019295e+00    9.122055e+00
