############################################################################################################
# initial vector basename: b_100
# final   vector basename: b_100
# Operator file: Iso2.int
# Zero body term: 0.000280497
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -38.158     -38.158    4.499416e+00   -2.500724e+00    1.998692e+00    1.998973e+00
 0.0   1     0.0   2    -38.158     -28.102    5.752366e-05    3.175461e-04    3.750697e-04    3.750697e-04
 0.0   2     0.0   1    -28.102     -38.158    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -28.102     -28.102    4.499238e+00   -2.499833e+00    1.999405e+00    1.999686e+00
 1.0   1     1.0   1    -40.262     -40.262    4.499272e+00   -4.498667e+00    6.043002e-04    8.847972e-04
 1.0   1     1.0   2    -40.262     -37.928   -1.644046e-05    1.105140e-05   -5.389062e-06   -5.389062e-06
 1.0   2     1.0   1    -37.928     -40.262    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -37.928     -37.928    4.499450e+00   -4.498692e+00    7.576659e-04    1.038163e-03
