############################################################################################################
# initial vector basename: be100
# final   vector basename: be100
# Operator file: Iso2.int
# Zero body term: 0.000280497
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -39.926     -39.926    4.498677e+00   -2.497414e+00    2.001263e+00    2.001544e+00
 0.0   1     0.0   2    -39.926     -30.053   -3.148872e-03   -1.107347e-04   -3.259606e-03   -3.259606e-03
 0.0   2     0.0   1    -30.053     -39.926    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -30.053     -30.053    4.499792e+00   -2.496501e+00    2.003291e+00    2.003571e+00
 1.0   1     1.0   1    -32.003     -32.003    4.499298e+00   -2.497602e+00    2.001696e+00    2.001977e+00
 1.0   1     1.0   2    -32.003     -29.145    1.282602e-03   -3.178989e-03   -1.896387e-03   -1.896387e-03
 1.0   2     1.0   1    -29.145     -32.003    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -29.145     -29.145    4.497186e+00   -2.494078e+00    2.003108e+00    2.003389e+00
