############################################################################################################
# initial vector basename: mg260
# final   vector basename: mg260
# Operator file: Rp2.int
# Zero body term: 4.07137
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -97.400     -97.400    4.115116e+00   -5.552480e-01    3.559868e+00    7.631238e+00
 0.0   1     0.0   2    -97.400     -93.618   -3.338469e-02    2.148732e-02   -1.189737e-02   -1.189737e-02
 0.0   2     0.0   1    -93.618     -97.400    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -93.618     -93.618    4.195676e+00   -5.873875e-01    3.608289e+00    7.679659e+00
 1.0   1     1.0   1    -91.328     -91.328    4.259859e+00   -5.272151e-01    3.732643e+00    7.804013e+00
 1.0   1     1.0   2    -91.328     -90.388   -5.030479e-03   -2.574363e-02   -3.077411e-02   -3.077411e-02
 1.0   2     1.0   1    -90.388     -91.328    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -90.388     -90.388    4.226805e+00   -5.602111e-01    3.666593e+00    7.737963e+00
