############################################################################################################
# initial vector basename: mg220
# final   vector basename: mg220
# Operator file: Iso2.int
# Zero body term: 0.0030015
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -43.795     -43.795    4.501542e+00   -2.505806e+00    1.995736e+00    1.998738e+00
 0.0   1     0.0   2    -43.795     -37.380   -2.401226e-03    1.344085e-05   -2.387785e-03   -2.387785e-03
 0.0   2     0.0   1    -37.380     -43.795    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -37.380     -37.380    4.506273e+00   -2.505525e+00    2.000747e+00    2.003749e+00
 1.0   1     1.0   1    -37.878     -37.878    4.501694e+00   -2.506275e+00    1.995419e+00    1.998420e+00
 1.0   1     1.0   2    -37.878     -36.595   -1.952803e-03    2.747379e-03    7.945762e-04    7.945762e-04
 1.0   2     1.0   1    -36.595     -37.878    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -36.595     -36.595    4.502565e+00   -2.504559e+00    1.998006e+00    2.001008e+00
