############################################################################################################
# initial vector basename: na220
# final   vector basename: na220
# Operator file: Rn2.int
# Zero body term: 4.78829
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -48.921     -48.921    3.555583e+00   -3.243056e-01    3.231277e+00    8.019567e+00
 0.0   1     0.0   2    -48.921     -42.170    5.338894e-03   -1.521678e-02   -9.877882e-03   -9.877882e-03
 0.0   2     0.0   1    -42.170     -48.921    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -42.170     -42.170    3.766498e+00   -3.010582e-01    3.465440e+00    8.253730e+00
 1.0   1     1.0   1    -49.593     -49.593    3.650267e+00   -3.509526e-01    3.299314e+00    8.087604e+00
 1.0   1     1.0   2    -49.593     -48.521   -6.920305e-02   -4.126363e-04   -6.961568e-02   -6.961568e-02
 1.0   2     1.0   1    -48.521     -49.593    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -48.521     -48.521    3.828816e+00   -3.396510e-01    3.489165e+00    8.277455e+00
