############################################################################################################
# initial vector basename: mg220
# final   vector basename: mg220
# Operator file: Rn2.int
# Zero body term: 4.78829
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -43.795     -43.795    2.518883e+00   -2.838027e-01    2.235080e+00    7.023370e+00
 0.0   1     0.0   2    -43.795     -37.380    8.297461e-02   -9.777453e-03    7.319716e-02    7.319716e-02
 0.0   2     0.0   1    -37.380     -43.795    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -37.380     -37.380    2.573858e+00   -2.753627e-01    2.298496e+00    7.086786e+00
 1.0   1     1.0   1    -37.878     -37.878    2.584808e+00   -2.874205e-01    2.297387e+00    7.085677e+00
 1.0   1     1.0   2    -37.878     -36.595    2.746636e-03    8.055129e-03    1.080176e-02    1.080176e-02
 1.0   2     1.0   1    -36.595     -37.878    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -36.595     -36.595    2.650670e+00   -2.836021e-01    2.367068e+00    7.155358e+00
