############################################################################################################
# initial vector basename: na220
# final   vector basename: na220
# Operator file: Iso2.int
# Zero body term: 0.0030015
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -48.921     -48.921    4.501142e+00   -2.507740e+00    1.993402e+00    1.996404e+00
 0.0   1     0.0   2    -48.921     -42.170    9.816548e-05   -1.061934e-03   -9.637688e-04   -9.637688e-04
 0.0   2     0.0   1    -42.170     -48.921    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -42.170     -42.170    4.501100e+00   -2.511832e+00    1.989268e+00    1.992269e+00
 1.0   1     1.0   1    -49.592     -49.592    4.501184e+00   -4.502551e+00   -1.366841e-03    1.634659e-03
 1.0   1     1.0   2    -49.592     -48.521    1.811593e-04    4.876310e-04    6.687903e-04    6.687903e-04
 1.0   2     1.0   1    -48.521     -49.592    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2    -48.521     -48.521    4.501678e+00   -4.500278e+00    1.400687e-03    4.402187e-03
