############################################################################################################
# initial vector basename: c_140
# final   vector basename: c_140
# Operator file: VCoul.int
# Zero body term: 1.61677
# Jf  nJf     Ji  nJi      Ei          Ef         <Op1b>          <Op2b>         <Op1b+2b>     <Op0b+1b+2b>
###########################################################################################################
 0.0   1     0.0   1    -91.161     -91.161    1.904352e+00    5.380914e+00    7.285265e+00    8.902035e+00
 0.0   1     0.0   2    -91.161     -73.178   -8.039996e-02   -1.754078e-01   -2.558077e-01   -2.558077e-01
 0.0   2     0.0   1    -73.178     -91.161    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 0.0   2     0.0   2    -73.178     -73.178    1.679193e+00    4.162424e+00    5.841617e+00    7.458387e+00
 1.0   1     1.0   1    -79.892     -79.892    1.791773e+00    4.640693e+00    6.432466e+00    8.049236e+00
 1.0   1     1.0   2    -79.892       0.000    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   1      0.000     -79.892    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
 1.0   2     1.0   2      0.000       0.000    0.000000e+00    0.000000e+00    0.000000e+00    1.616770e+00
